Text,Image
urn:cts:greekLit:tlg0012.tlg001.msA:1.1,"urn:cite:hmt:vaimg.VA012RN-0013@0.0611,0.2252,0.4675,0.0901"
urn:cts:greekLit:tlg0012.tlg001.msA:1.2,"urn:cite:hmt:vaimg.VA012RN-0013@0.1632,0.2523,0.3323,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:1.3,"urn:cite:hmt:vaimg.VA012RN-0013@0.1642,0.2725,0.3323,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:1.4,"urn:cite:hmt:vaimg.VA012RN-0013@0.1652,0.2905,0.3463,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:1.5,"urn:cite:hmt:vaimg.VA012RN-0013@0.1632,0.3116,0.3273,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:1.6,"urn:cite:hmt:vaimg.VA012RN-0013@0.1632,0.3288,0.3373,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:1.7,"urn:cite:hmt:vaimg.VA012RN-0013@0.1642,0.3498,0.3534,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:1.8,"urn:cite:hmt:vaimg.VA012RN-0013@0.1612,0.3701,0.3604,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:1.9,"urn:cite:hmt:vaimg.VA012RN-0013@0.1592,0.3874,0.3664,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:1.10,"urn:cite:hmt:vaimg.VA012RN-0013@0.1632,0.4069,0.3664,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:1.11,"urn:cite:hmt:vaimg.VA012RN-0013@0.1632,0.4272,0.3283,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:1.12,"urn:cite:hmt:vaimg.VA012RN-0013@0.1622,0.4474,0.3544,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:1.13,"urn:cite:hmt:vaimg.VA012RN-0013@0.1532,0.4685,0.3874,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:1.14,"urn:cite:hmt:vaimg.VA012RN-0013@0.1622,0.4872,0.3704,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:1.15,"urn:cite:hmt:vaimg.VA012RN-0013@0.1542,0.5075,0.3924,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:1.16,"urn:cite:hmt:vaimg.VA012RN-0013@0.1612,0.524,0.3413,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:1.17,"urn:cite:hmt:vaimg.VA012RN-0013@0.1592,0.545,0.3413,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:1.18,"urn:cite:hmt:vaimg.VA012RN-0013@0.1592,0.5646,0.3644,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:1.19,"urn:cite:hmt:vaimg.VA012RN-0013@0.1602,0.5841,0.3754,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:1.20,"urn:cite:hmt:vaimg.VA012RN-0013@0.1582,0.6036,0.3864,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:1.21,"urn:cite:hmt:vaimg.VA012RN-0013@0.1622,0.6216,0.3413,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:1.22,"urn:cite:hmt:vaimg.VA012RN-0013@0.1582,0.6411,0.3514,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:1.23,"urn:cite:hmt:vaimg.VA012RN-0013@0.1612,0.6622,0.3664,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:1.24,"urn:cite:hmt:vaimg.VA012RN-0013@0.1622,0.6802,0.3584,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:1.25,"urn:cite:hmt:vaimg.VA012RN-0013@0.1632,0.6982,0.3584,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:1.26,"urn:cite:hmt:vaimg.VA012VN-0514@0.491,0.2126,0.332,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:1.27,"urn:cite:hmt:vaimg.VA012VN-0514@0.494,0.2359,0.297,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:1.28,"urn:cite:hmt:vaimg.VA012VN-0514@0.495,0.2562,0.336,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:1.29,"urn:cite:hmt:vaimg.VA012VN-0514@0.49,0.2757,0.336,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:1.30,"urn:cite:hmt:vaimg.VA012VN-0514@0.494,0.2938,0.336,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:1.31,"urn:cite:hmt:vaimg.VA012VN-0514@0.494,0.3148,0.321,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:1.32,"urn:cite:hmt:vaimg.VA012VN-0514@0.496,0.3291,0.338,0.0323"
urn:cts:greekLit:tlg0012.tlg001.msA:1.33,"urn:cite:hmt:vaimg.VA012VN-0514@0.496,0.3494,0.342,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:1.34,"urn:cite:hmt:vaimg.VA012VN-0514@0.5,0.3696,0.363,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:1.35,"urn:cite:hmt:vaimg.VA012VN-0514@0.499,0.3884,0.351,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:1.36,"urn:cite:hmt:vaimg.VA012VN-0514@0.498,0.408,0.339,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:1.37,"urn:cite:hmt:vaimg.VA012VN-0514@0.5,0.426,0.358,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:1.38,"urn:cite:hmt:vaimg.VA012VN-0514@0.502,0.4448,0.342,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:1.39,"urn:cite:hmt:vaimg.VA012VN-0514@0.504,0.4636,0.333,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:1.40,"urn:cite:hmt:vaimg.VA012VN-0514@0.499,0.4831,0.318,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:1.41,"urn:cite:hmt:vaimg.VA012VN-0514@0.504,0.5004,0.349,0.0316"
urn:cts:greekLit:tlg0012.tlg001.msA:1.42,"urn:cite:hmt:vaimg.VA012VN-0514@0.5,0.5214,0.347,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:1.43,"urn:cite:hmt:vaimg.VA012VN-0514@0.503,0.5402,0.368,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:1.44,"urn:cite:hmt:vaimg.VA012VN-0514@0.504,0.559,0.341,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:1.45,"urn:cite:hmt:vaimg.VA012VN-0514@0.501,0.5778,0.335,0.0301"
